rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,bom_film_id,imdb_id,tmdb_id,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region
m/10010785-grace,Q3112986,Grace,,,,,,tt1220213,21398.0,,,,,,,,,,,
m/10010787-endgame,Q1340430,Endgame,,,,,endgame09,tt1217616,15102.0,,,,,,,,,,,
m/10010789-red_baron,Q835581,The Red Baron,,,,,redbaron,tt0365675,8349.0,27000000.0,Q4917,,,P2130,,,,,,
m/10010919-objective,Q7754630,The Objective,,,,,objective,tt0962711,14878.0,,,,,,,,,,,
m/10010940-happy_tears,Q1584307,Happy Tears,,,,,happytears,tt1219828,39072.0,,,,,,,,,,,
m/10010944-missing_person,,,,,,,,,,,,,,,,,,,,
m/10010957-polanski_unauthorized,Q7208976,Polanski Unauthorized,,,,,,tt1139665,220953.0,,,,,,,,,,,
m/10010972-mammoth,Q759230,Mammoth,,,,,,tt1038043,33974.0,,,,,,,,,,,
m/10011003-crude,Q5189842,Crude,,,,,,tt1326204,34214.0,,,,,,,,,,,
m/10011016-messenger,Q466358,The Messenger,,,,,messenger09,tt0790712,28089.0,,,,,,,,,,,
m/10011050-lake_mungo,Q6477009,Lake Mungo,,,,,,tt0816556,27374.0,,,,,,29850.0,Q259502,,2009-01-01T00:00:00Z,,
m/10011079-country_teacher,,,,,,,,,,,,,,,,,,,,
